         ? (     ?   ): pesquisaOverhe/6  ... [[33mcontinued[m]: execve()) = 0
     0.020 ( 0.001 ms): pesquisaOverhe/6 brk(                                                                  ) = 0x55ccf6aff000
     0.559 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x3f, oact: 0x7f4aa1d0fdb0, sigsetsize: 8           ) = 0
     0.561 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x3f, act: 0x7f4aa1d0fd10, sigsetsize: 8            ) = 0
     0.563 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x40, oact: 0x7f4aa1d0fdb0, sigsetsize: 8           ) = 0
     0.566 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x40, act: 0x7f4aa1d0fd10, sigsetsize: 8            ) = 0
     0.568 ( 0.001 ms): pesquisaOverhe/7 rt_sigprocmask(how: SETMASK, nset: 0x7ffdb48b78f8, sigsetsize: 8      ) = 0
     0.573 ([33m 0.076 ms[m): sleep/7 execve(filename: 0xf5601a36, argv: 0x7ffdb48b7ba0                     ) = 0
     0.663 ( 0.001 ms): sleep/7 brk(                                                                  ) = 0x5639dc69f000
     0.676 ( 0.003 ms): sleep/7 access(filename: 0x3cd44e7                                            ) = -1 ENOENT No such file or directory
     0.681 ( 0.002 ms): sleep/7 access(filename: 0x3cd6c70, mode: R                                   ) = -1 ENOENT No such file or directory
     0.686 ( 0.004 ms): sleep/7 open(filename: 0x3cd4988, flags: CLOEXEC                              ) = 3
     0.690 ( 0.002 ms): sleep/7 fstat(fd: 3, statbuf: 0x7ffc8a867cc0                                  ) = 0
     0.694 ( 0.003 ms): sleep/7 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f9903ed6000
     0.698 ( 0.001 ms): sleep/7 close(fd: 3                                                           ) = 0
     0.702 ( 0.002 ms): sleep/7 access(filename: 0x3cd44e7                                            ) = -1 ENOENT No such file or directory
     0.706 ( 0.004 ms): sleep/7 open(filename: 0x3edcd68, flags: CLOEXEC                              ) = 3
     0.711 ( 0.002 ms): sleep/7 read(fd: 3, buf: 0x7ffc8a867e68, count: 832                           ) = 832
     0.714 ( 0.001 ms): sleep/7 fstat(fd: 3, statbuf: 0x7ffc8a867d00                                  ) = 0
     0.717 ( 0.002 ms): sleep/7 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7f9903ed4000
     0.722 ( 0.003 ms): sleep/7 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7f9903918000
     0.727 ( 0.004 ms): sleep/7 mprotect(start: 0x7f9903aad000, len: 2097152                          ) = 0
     0.732 ( 0.004 ms): sleep/7 mmap(addr: 0x7f9903cad000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7f9903cad000
     0.740 ( 0.003 ms): sleep/7 mmap(addr: 0x7f9903cb3000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7f9903cb3000
     0.747 ( 0.001 ms): sleep/7 close(fd: 3                                                           ) = 0
     0.758 ( 0.001 ms): sleep/7 arch_prctl(option: 4098, arg2: 140295172609152                        ) = 0
