     0.541 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x32, oact: 0x7f5b7d575db0, sigsetsize: 8           ) = 0
     0.543 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x32, act: 0x7f5b7d575d10, sigsetsize: 8            ) = 0
     0.545 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x33, oact: 0x7f5b7d575db0, sigsetsize: 8           ) = 0
     0.547 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x33, act: 0x7f5b7d575d10, sigsetsize: 8            ) = 0
     0.549 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x34, oact: 0x7f5b7d575db0, sigsetsize: 8           ) = 0
     0.551 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x34, act: 0x7f5b7d575d10, sigsetsize: 8            ) = 0
     0.553 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x35, oact: 0x7f5b7d575db0, sigsetsize: 8           ) = 0
     0.555 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x35, act: 0x7f5b7d575d10, sigsetsize: 8            ) = 0
     0.557 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x36, oact: 0x7f5b7d575db0, sigsetsize: 8           ) = 0
     0.559 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x36, act: 0x7f5b7d575d10, sigsetsize: 8            ) = 0
     0.561 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x37, oact: 0x7f5b7d575db0, sigsetsize: 8           ) = 0
     0.563 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x37, act: 0x7f5b7d575d10, sigsetsize: 8            ) = 0
     0.565 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x38, oact: 0x7f5b7d575db0, sigsetsize: 8           ) = 0
     0.567 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x38, act: 0x7f5b7d575d10, sigsetsize: 8            ) = 0
     0.569 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x39, oact: 0x7f5b7d575db0, sigsetsize: 8           ) = 0
     0.571 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x39, act: 0x7f5b7d575d10, sigsetsize: 8            ) = 0
     0.573 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3a, oact: 0x7f5b7d575db0, sigsetsize: 8           ) = 0
     0.575 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3a, act: 0x7f5b7d575d10, sigsetsize: 8            ) = 0
     0.577 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3b, oact: 0x7f5b7d575db0, sigsetsize: 8           ) = 0
     0.579 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3b, act: 0x7f5b7d575d10, sigsetsize: 8            ) = 0
     0.581 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3c, oact: 0x7f5b7d575db0, sigsetsize: 8           ) = 0
     0.583 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3c, act: 0x7f5b7d575d10, sigsetsize: 8            ) = 0
     0.585 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3d, oact: 0x7f5b7d575db0, sigsetsize: 8           ) = 0
     0.587 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3d, act: 0x7f5b7d575d10, sigsetsize: 8            ) = 0
     0.589 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3e, oact: 0x7f5b7d575db0, sigsetsize: 8           ) = 0
