         ? (     ?   ): pesquisaOverhe/7  ... [[33mcontinued[m]: execve()) = 0
     0.024 ( 0.002 ms): pesquisaOverhe/7 brk(                                                                  ) = 0x55699b5f8000
     0.626 ( 0.001 ms): pesquisaOverhe/8 rt_sigprocmask(how: SETMASK, nset: 0x7ffc81612608, sigsetsize: 8      ) = 0
     0.632 ([33m 0.081 ms[m): sleep/8 execve(filename: 0x99628a36, argv: 0x7ffc816128b0                     ) = 0
     0.725 ( 0.001 ms): sleep/8 brk(                                                                  ) = 0x561e84baa000
     0.740 ( 0.003 ms): sleep/8 access(filename: 0x71d694e7                                           ) = -1 ENOENT No such file or directory
     0.747 ( 0.002 ms): sleep/8 access(filename: 0x71d6bc70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.751 ( 0.004 ms): sleep/8 open(filename: 0x71d69988, flags: CLOEXEC                             ) = 3
     0.756 ( 0.002 ms): sleep/8 fstat(fd: 3, statbuf: 0x7ffd757277f0                                  ) = 0
     0.759 ( 0.003 ms): sleep/8 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7fec71f6b000
     0.764 ( 0.001 ms): sleep/8 close(fd: 3                                                           ) = 0
     0.767 ( 0.002 ms): sleep/8 access(filename: 0x71d694e7                                           ) = -1 ENOENT No such file or directory
     0.771 ( 0.005 ms): sleep/8 open(filename: 0x71f71d68, flags: CLOEXEC                             ) = 3
     0.776 ( 0.002 ms): sleep/8 read(fd: 3, buf: 0x7ffd75727998, count: 832                           ) = 832
     0.779 ( 0.001 ms): sleep/8 fstat(fd: 3, statbuf: 0x7ffd75727830                                  ) = 0
     0.782 ( 0.003 ms): sleep/8 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7fec71f69000
     0.788 ( 0.003 ms): sleep/8 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7fec719ad000
     0.792 ( 0.004 ms): sleep/8 mprotect(start: 0x7fec71b42000, len: 2097152                          ) = 0
     0.796 ( 0.004 ms): sleep/8 mmap(addr: 0x7fec71d42000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7fec71d42000
