         ? (     ?   ): pesquisaOverhe/6  ... [[33mcontinued[m]: execve()) = 0
     0.557 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x3f, oact: 0x7f109a773db0, sigsetsize: 8           ) = 0
     0.559 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x3f, act: 0x7f109a773d10, sigsetsize: 8            ) = 0
     0.561 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x40, oact: 0x7f109a773db0, sigsetsize: 8           ) = 0
     0.563 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x40, act: 0x7f109a773d10, sigsetsize: 8            ) = 0
     0.565 ( 0.001 ms): sleep/7 rt_sigprocmask(how: SETMASK, nset: 0x7ffefbf036e8, sigsetsize: 8      ) = 0
     0.175 ([33m 0.452 ms[m): pesquisaOverhe/6  ... [[33mcontinued[m]: clone()) = 7 (sleep)
     0.571 ([33m 0.059 ms[m): sleep/7 execve(filename: 0x37db1a36, argv: 0x7ffefbf03990                     ) ...
     0.630 ( 0.001 ms): pesquisaOverhe/6 close(fd: 4                                                           ) = 0
     0.633 ( 0.002 ms): pesquisaOverhe/6 read(fd: 3, buf: 0x7ffefbf03658, count: 4                             ) = 0
     0.636 ( 0.005 ms): pesquisaOverhe/6 munmap(addr: 0x7f109a76b000, len: 36864                               ) = 0
     0.642 ( 0.001 ms): pesquisaOverhe/6 close(fd: 3                                                           ) = 0
     0.647 ( 0.001 ms): pesquisaOverhe/6 rt_sigprocmask(how: SETMASK, nset: 0x7ffefbf036e8, sigsetsize: 8      ) = 0
     0.654 (     ?   ): pesquisaOverhe/6 exit_group(                                                           )
