         ? (     ?   ): pesquisaOverhe/8  ... [[33mcontinued[m]: execve()) = 0
     0.019 ( 0.001 ms): pesquisaOverhe/8 brk(                                                                  ) = 0x55fabd628000
     2.507 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x30, act: 0x7f2f9470dd10, sigsetsize: 8            ) = 0
     2.510 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x31, oact: 0x7f2f9470ddb0, sigsetsize: 8           ) = 0
     2.512 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x31, act: 0x7f2f9470dd10, sigsetsize: 8            ) = 0
     2.514 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x32, oact: 0x7f2f9470ddb0, sigsetsize: 8           ) = 0
     2.517 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x32, act: 0x7f2f9470dd10, sigsetsize: 8            ) = 0
     2.518 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x33, oact: 0x7f2f9470ddb0, sigsetsize: 8           ) = 0
     2.521 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x33, act: 0x7f2f9470dd10, sigsetsize: 8            ) = 0
     2.523 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x34, oact: 0x7f2f9470ddb0, sigsetsize: 8           ) = 0
     2.525 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x34, act: 0x7f2f9470dd10, sigsetsize: 8            ) = 0
     2.527 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x35, oact: 0x7f2f9470ddb0, sigsetsize: 8           ) = 0
     2.529 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x35, act: 0x7f2f9470dd10, sigsetsize: 8            ) = 0
     2.531 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x36, oact: 0x7f2f9470ddb0, sigsetsize: 8           ) = 0
     2.534 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x36, act: 0x7f2f9470dd10, sigsetsize: 8            ) = 0
     2.536 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x37, oact: 0x7f2f9470ddb0, sigsetsize: 8           ) = 0
