execve("./fileOverhead", ["./fileOverhead", "fork", "100"], [/* 4 vars */])                                             = 0 <0.000381>
[pid     7] close(69 <unfinished ...>
[pid     8] close(46 <unfinished ...>
[pid     7] <... close resumed> )                                                                                       = 0 <0.000066>
[pid     7] close(70 <unfinished ...>
[pid     8] <... close resumed> )                                                                                       = 0 <0.000137>
[pid     7] <... close resumed> )                                                                                       = 0 <0.000058>
[pid     8] close(47 <unfinished ...>
[pid     7] close(71 <unfinished ...>
[pid     8] <... close resumed> )                                                                                       = 0 <0.000051>
[pid     7] <... close resumed> )                                                                                       = 0 <0.000053>
[pid     8] close(48 <unfinished ...>
[pid     7] close(72 <unfinished ...>
[pid     8] <... close resumed> )                                                                                       = 0 <0.000049>
[pid     7] <... close resumed> )                                                                                       = 0 <0.000053>
[pid     8] close(49 <unfinished ...>
[pid     7] close(73 <unfinished ...>
[pid     8] <... close resumed> )                                                                                       = 0 <0.000050>
[pid     7] <... close resumed> )                                                                                       = 0 <0.000053>
[pid     8] close(50 <unfinished ...>
[pid     7] close(74 <unfinished ...>
[pid     8] <... close resumed> )                                                                                       = 0 <0.000049>
[pid     7] <... close resumed> )                                                                                       = 0 <0.000053>
[pid     8] close(51 <unfinished ...>
[pid     7] close(75 <unfinished ...>
[pid     8] <... close resumed> )                                                                                       = 0 <0.000051>
[pid     7] <... close resumed> )                                                                                       = 0 <0.000055>
[pid     8] close(52 <unfinished ...>
[pid     7] close(76 <unfinished ...>
[pid     8] <... close resumed> )                                                                                       = 0 <0.000050>
[pid     7] <... close resumed> )                                                                                       = 0 <0.000054>
[pid     8] close(53 <unfinished ...>
[pid     7] close(77 <unfinished ...>
[pid     8] <... close resumed> )                                                                                       = 0 <0.000051>
[pid     7] <... close resumed> )                                                                                       = 0 <0.000054>
[pid     8] close(54 <unfinished ...>
[pid     7] close(78 <unfinished ...>
[pid     8] <... close resumed> )                                                                                       = 0 <0.000050>
[pid     7] <... close resumed> )                                                                                       = 0 <0.000055>
[pid     8] close(55 <unfinished ...>
[pid     7] close(79 <unfinished ...>
[pid     8] <... close resumed> )                                                                                       = 0 <0.000052>
[pid     7] <... close resumed> )                                                                                       = 0 <0.000057>
[pid     8] close(56 <unfinished ...>
[pid     7] close(80 <unfinished ...>
[pid     8] <... close resumed> )                                                                                       = 0 <0.000053>
[pid     7] <... close resumed> )                                                                                       = 0 <0.000061>
[pid     8] close(57 <unfinished ...>
[pid     7] close(81 <unfinished ...>
[pid     8] <... close resumed> )                                                                                       = 0 <0.000051>
[pid     7] <... close resumed> )                                                                                       = 0 <0.000056>
[pid     8] close(58 <unfinished ...>
[pid     7] close(82 <unfinished ...>
[pid     8] <... close resumed> )                                                                                       = 0 <0.000050>
[pid     7] <... close resumed> )                                                                                       = 0 <0.000055>
[pid     8] close(59 <unfinished ...>
[pid     7] close(83 <unfinished ...>
[pid     8] <... close resumed> )                                                                                       = 0 <0.000052>
[pid     7] <... close resumed> )                                                                                       = 0 <0.000059>
[pid     8] close(60 <unfinished ...>
[pid     7] close(84 <unfinished ...>
[pid     8] <... close resumed> )                                                                                       = 0 <0.000052>
[pid     7] <... close resumed> )                                                                                       = 0 <0.000056>
[pid     8] close(61 <unfinished ...>
[pid     7] close(85 <unfinished ...>
[pid     8] <... close resumed> )                                                                                       = 0 <0.000051>
[pid     7] <... close resumed> )                                                                                       = 0 <0.000054>
[pid     8] close(62 <unfinished ...>
[pid     7] close(86 <unfinished ...>
[pid     8] <... close resumed> )                                                                                       = 0 <0.000051>
[pid     7] <... close resumed> )                                                                                       = 0 <0.000056>
[pid     8] close(63 <unfinished ...>
[pid     7] close(87 <unfinished ...>
[pid     8] <... close resumed> )                                                                                       = 0 <0.000052>
[pid     7] <... close resumed> )                                                                                       = 0 <0.000056>
[pid     8] close(64 <unfinished ...>
